iter	RMSE
0	95116.14539
1	92228.52265
2	89610.36096
3	87106.84648
4	84679.29019
5	82555.55638
6	80670.22858
7	78881.8665
8	77203.79528
9	75713.9805
10	74293.87669
11	73092.2691
12	71978.80406
13	70951.83624
14	69940.50308
15	69074.7272
16	68062.94541
17	67253.1307
18	66573.16766
19	65900.54906
20	65288.84771
21	64760.41208
22	64208.67998
23	63744.4513
24	63295.15106
25	62787.7064
26	62418.72228
27	62025.33538
28	61619.92278
29	61334.68387
30	61049.71712
31	60707.1155
32	60489.52323
33	60183.72936
34	59910.96239
35	59647.61558
36	59413.7237
37	59190.64898
38	58898.84762
39	58631.12468
40	58444.73322
41	58104.61977
42	57905.15149
43	57721.66897
44	57544.09918
45	57425.2466
46	57216.71173
47	57059.03995
48	56878.75655
49	56700.15439
50	56456.61329
51	56302.94886
52	56122.76917
53	55960.86325
54	55665.82995
55	55519.39999
56	55337.17436
57	55180.70633
58	55041.92084
59	54954.41305
60	54810.86837
61	54673.83036
62	54564.7394
63	54409.09203
64	54325.96767
65	54143.29954
66	54049.77642
67	53948.68611
68	53793.86875
69	53690.18585
70	53550.00032
71	53454.14139
72	53260.91481
73	53172.60167
74	52952.16497
75	52837.86108
76	52767.24405
77	52635.3447
78	52552.47573
79	52445.07427
80	52349.83371
81	52257.20771
82	52117.20879
83	52029.24842
84	51972.76065
85	51885.79585
86	51837.29945
87	51697.56824
88	51600.97317
89	51559.30729
90	51489.51246
91	51426.62632
92	51336.11813
93	51256.11255
94	51140.95586
95	51073.6599
96	51025.5295
97	50951.69533
98	50852.77995
99	50756.99925
100	50693.28157
101	50598.62254
102	50519.967
103	50467.8558
104	50377.74474
105	50199.07521
106	50095.83938
107	50046.47245
108	49994.85079
109	49943.59562
110	49895.86484
111	49785.8488
112	49726.77172
113	49652.84003
114	49557.86766
115	49515.91182
116	49470.24912
117	49390.91737
118	49340.99
119	49296.43895
120	49242.37927
121	49191.25848
122	49076.76969
123	49030.51258
124	48963.77138
125	48909.00298
126	48852.02571
127	48790.05207
128	48678.02974
129	48648.20439
130	48557.10145
131	48452.81991
132	48384.11719
133	48334.39811
134	48271.44336
135	48203.23942
136	48155.60474
137	48088.46355
138	48032.96397
139	47999.22423
140	47901.18262
141	47872.28586
142	47826.3298
143	47789.84158
144	47744.95061
145	47666.8081
146	47632.56515
147	47588.43249
148	47540.67131
149	47456.81446
150	47389.64516
151	47344.9002
152	47298.02014
153	47215.41591
154	47169.87121
155	47142.5014
156	47091.09399
157	47030.2479
158	46957.77722
159	46908.24508
160	46881.39274
161	46826.52293
162	46784.03869
163	46738.32932
164	46697.15212
165	46649.63264
166	46609.35786
167	46571.5642
168	46543.75948
169	46490.42487
170	46466.01241
171	46419.5016
172	46369.86136
173	46312.25098
174	46268.27407
175	46227.89172
176	46172.58768
177	46118.58956
178	46073.42339
179	46016.98894
180	45984.25789
181	45958.84105
182	45930.05258
183	45893.64557
184	45838.95882
185	45810.41785
186	45734.77249
187	45701.86837
188	45678.52036
189	45568.35165
190	45518.87331
191	45463.40241
192	45399.20818
193	45311.0624
194	45278.20159
195	45235.77226
196	45202.72988
197	45144.07172
198	45105.4993
199	45057.98319
200	45025.59222
201	44990.96277
202	44966.82802
203	44950.38655
204	44898.46008
205	44849.20364
206	44821.83234
207	44777.85768
208	44739.11543
209	44709.3111
210	44667.57292
211	44626.01217
212	44594.01305
213	44552.64181
214	44519.11776
215	44475.36857
216	44439.90774
217	44409.43118
218	44372.5857
219	44301.1126
220	44261.43294
221	44232.09134
222	44190.02555
223	44155.12938
224	44116.98168
225	44069.33117
226	44030.50181
227	44002.75927
228	43972.42437
229	43900.7075
230	43878.49314
231	43851.65428
232	43818.50194
233	43783.73537
234	43743.47038
235	43695.16267
236	43661.31471
237	43633.53467
238	43592.56513
239	43556.40617
240	43525.32842
241	43506.66276
242	43474.33518
243	43412.35527
244	43354.83477
245	43335.5356
246	43306.58435
247	43278.85657
248	43240.88454
249	43216.04667
250	43174.26701
251	43147.64911
252	43115.38157
253	43076.28221
254	43048.11883
255	43018.20926
256	42992.02883
257	42968.06562
258	42944.14766
259	42922.26047
260	42885.06458
261	42853.36265
262	42810.38648
263	42795.97549
264	42780.19514
265	42732.06776
266	42703.64733
267	42682.99282
268	42665.34304
269	42636.41939
270	42594.6692
271	42567.85631
272	42540.70776
273	42503.93273
274	42489.45536
275	42459.47031
276	42431.30714
277	42410.1661
278	42383.98849
279	42370.79055
280	42342.03702
281	42308.77152
282	42293.12534
283	42255.28213
284	42233.60761
285	42213.74019
286	42190.91102
287	42170.55718
288	42148.85536
289	42112.68561
290	42082.41885
291	42068.81698
292	42051.58469
293	42033.88353
294	42009.02769
295	41985.51214
296	41958.40122
297	41930.40454
298	41903.51364
299	41876.3097
300	41865.11228
301	41839.84414
302	41800.51763
303	41777.54914
304	41757.96627
305	41731.84994
306	41704.90429
307	41680.83403
308	41667.37113
309	41649.13064
310	41626.21154
311	41595.1375
312	41567.50459
313	41532.79635
314	41509.49272
315	41481.6447
316	41464.18312
317	41440.99839
318	41419.25609
319	41397.69769
320	41367.50355
321	41351.24232
322	41329.74765
323	41305.27026
324	41283.92741
325	41258.58725
326	41231.41024
327	41217.27898
328	41193.71666
329	41177.40592
330	41162.89151
331	41145.3126
332	41118.64177
333	41095.67334
334	41072.24118
335	41039.48954
336	41020.76345
337	41001.47934
338	40975.63565
339	40947.79145
340	40916.39229
341	40896.12668
342	40869.75751
343	40844.29801
344	40830.53372
345	40820.66955
346	40789.82448
347	40771.66135
348	40732.73159
349	40722.30272
350	40697.0045
351	40685.61664
352	40665.30732
353	40636.07207
354	40621.18893
355	40599.56098
356	40580.57472
357	40569.82999
358	40537.48981
359	40519.15666
360	40505.88835
361	40487.56368
362	40472.11078
363	40445.12587
364	40420.90975
365	40394.70898
366	40374.39996
367	40356.75118
368	40329.84809
369	40306.09978
370	40286.62359
371	40271.67127
372	40251.65009
373	40235.33266
374	40210.46249
375	40198.09982
376	40173.7154
377	40146.94226
378	40126.02941
379	40113.84822
380	40092.52768
381	40078.44361
382	40061.91007
383	40050.64844
384	40025.95072
385	40013.58546
386	39997.29758
387	39973.58093
388	39953.52999
389	39933.09204
390	39917.33567
391	39895.33368
392	39881.13308
393	39863.53919
394	39844.73244
395	39826.12002
396	39817.27382
397	39804.83041
398	39785.66789
399	39773.91022
400	39754.09291
401	39738.69693
402	39708.95184
403	39693.34043
404	39662.85068
405	39650.0393
406	39634.23883
407	39601.70873
408	39588.9349
409	39578.85897
410	39560.3101
411	39543.36707
412	39532.56901
413	39517.67126
414	39502.27283
415	39491.77584
416	39478.98569
417	39466.21455
418	39433.66577
419	39410.9878
420	39402.58685
421	39385.38098
422	39371.50535
423	39333.97694
424	39322.70332
425	39299.21392
426	39283.28075
427	39261.75489
428	39249.69908
429	39235.5048
430	39222.19091
431	39198.1311
432	39175.5067
433	39156.66051
434	39143.4632
435	39129.88576
436	39110.60787
437	39085.01127
438	39068.42968
439	39054.89975
440	39033.07135
441	39025.14503
442	39012.44153
443	38999.67323
444	38980.23885
445	38959.20513
446	38936.04334
447	38923.06927
448	38897.95559
449	38868.80504
450	38854.48731
451	38830.20499
452	38815.47585
453	38794.66224
454	38779.4658
455	38761.5656
456	38747.12313
457	38734.54739
458	38721.68084
459	38711.44134
460	38698.501
461	38689.53994
462	38672.77244
463	38661.61461
464	38651.33145
465	38637.44214
466	38619.41729
467	38602.5473
468	38588.80503
469	38570.11996
470	38562.53154
471	38539.56091
472	38526.82504
473	38509.05418
474	38500.92252
475	38486.18189
476	38476.46557
477	38464.08768
478	38441.98858
479	38430.9371
480	38416.182
481	38400.49107
482	38381.35604
483	38369.33176
484	38356.76509
485	38347.80526
486	38324.62313
487	38303.92666
488	38288.16945
489	38276.52622
490	38265.01254
491	38249.4103
492	38238.97638
493	38229.72758
494	38217.66129
495	38201.59441
496	38186.74855
497	38173.25318
498	38156.15974
499	38135.1416
500	38119.04911
501	38103.41926
502	38084.4244
503	38064.26826
504	38042.00913
505	38023.78429
506	38001.88956
507	37987.7865
508	37961.66607
509	37944.56469
510	37924.29014
511	37910.0907
512	37893.84099
513	37885.98907
514	37873.33942
515	37858.40332
516	37847.59049
517	37830.95845
518	37816.98202
519	37800.2667
520	37778.58802
521	37765.46092
522	37752.32731
523	37737.71647
524	37715.65405
525	37700.33394
526	37686.40547
527	37678.09922
528	37663.97973
529	37658.4215
530	37640.67861
531	37622.00568
532	37612.38667
533	37600.12381
534	37586.73915
535	37572.1202
536	37559.80574
537	37545.46835
538	37532.0088
539	37516.29087
540	37502.66844
541	37483.62578
542	37474.26032
543	37464.18713
544	37450.97376
545	37440.09555
546	37431.10666
547	37416.48325
548	37405.06554
549	37391.34901
550	37382.52317
551	37363.54081
552	37352.85006
553	37338.1253
554	37317.17953
555	37301.72195
556	37289.36436
557	37268.91613
558	37258.54593
559	37254.10674
560	37238.34525
561	37225.1652
562	37215.41231
563	37207.03835
564	37193.51946
565	37182.03181
566	37165.76461
567	37152.63825
568	37136.25469
569	37125.54223
570	37121.14115
571	37109.05109
572	37094.85855
573	37086.77011
574	37077.50523
575	37062.02283
576	37057.78699
577	37041.81978
578	37032.75786
579	37019.79605
580	37008.29248
581	36993.50978
582	36986.24653
583	36976.84824
584	36966.05469
585	36958.32268
586	36943.58336
587	36927.14587
588	36911.19436
589	36896.08833
590	36877.62319
591	36860.81552
592	36851.7747
593	36840.45736
594	36827.90283
595	36814.33904
596	36802.28798
597	36790.80908
598	36775.29859
