iter	Passed	Remaining
0	157	157122
1	170	85072
2	182	60492
3	193	48133
4	203	40529
5	213	35333
6	223	31658
7	231	28659
8	237	26143
9	243	24089
10	251	22629
11	260	21460
12	266	20249
13	274	19336
14	281	18481
15	286	17642
16	292	16921
17	297	16237
18	302	15640
19	311	15263
20	317	14795
21	324	14439
22	332	14129
23	341	13880
24	347	13556
25	354	13272
26	361	13010
27	366	12714
28	371	12449
29	380	12306
30	385	12063
31	391	11833
32	396	11611
33	401	11412
34	406	11220
35	419	11220
36	425	11071
37	432	10945
38	438	10794
39	443	10643
40	448	10496
41	453	10354
42	459	10217
43	464	10092
44	469	9962
45	474	9847
46	479	9732
47	485	9625
48	490	9521
49	496	9434
50	502	9342
51	508	9265
52	513	9172
53	518	9080
54	525	9031
55	530	8950
56	536	8874
57	542	8808
58	548	8747
59	577	9043
60	583	8985
61	591	8955
62	601	8942
63	608	8904
64	615	8859
65	622	8806
66	627	8734
67	633	8688
68	639	8623
69	644	8568
70	651	8529
71	657	8479
72	665	8446
73	669	8383
74	675	8329
75	684	8317
76	691	8286
77	700	8275
78	710	8278
79	718	8258
80	726	8246
81	733	8212
82	739	8174
83	746	8144
84	752	8100
85	763	8113
86	768	8069
87	776	8048
88	782	8006
89	789	7978
90	795	7941
91	799	7894
92	807	7873
93	813	7839
94	819	7808
95	825	7776
96	831	7736
97	837	7710
98	842	7670
99	848	7638
100	855	7614
101	862	7591
102	871	7585
103	878	7570
104	889	7585
105	897	7571
106	904	7548
107	910	7523
108	919	7517
109	925	7487
110	939	7521
111	946	7505
112	953	7483
113	958	7449
114	963	7413
115	969	7389
116	975	7364
117	981	7336
118	986	7301
119	991	7269
120	996	7237
121	1001	7206
122	1006	7176
123	1012	7150
124	1017	7119
125	1022	7090
126	1028	7071
127	1035	7051
128	1041	7031
129	1047	7011
130	1055	6999
131	1060	6974
132	1066	6951
133	1074	6941
134	1082	6933
135	1088	6912
136	1093	6886
137	1100	6875
138	1106	6856
139	1114	6843
140	1120	6824
141	1125	6803
142	1132	6788
143	1141	6783
144	1151	6790
145	1159	6779
146	1166	6767
147	1171	6745
148	1179	6737
149	1184	6713
150	1193	6708
151	1198	6687
152	1203	6665
153	1212	6659
154	1219	6648
155	1225	6631
156	1232	6617
157	1240	6609
158	1247	6595
159	1256	6594
160	1261	6573
161	1267	6554
162	1272	6534
163	1278	6514
164	1284	6501
165	1291	6486
166	1296	6468
167	1302	6452
168	1307	6430
169	1313	6411
170	1318	6391
171	1323	6371
172	1329	6353
173	1334	6334
174	1339	6316
175	1344	6296
176	1350	6278
177	1355	6259
178	1360	6241
179	1366	6223
180	1371	6204
181	1377	6189
182	1385	6183
183	1393	6178
184	1398	6161
185	1403	6142
186	1409	6128
187	1414	6110
188	1420	6097
189	1426	6079
190	1431	6061
191	1437	6048
192	1443	6035
193	1450	6028
194	1456	6013
195	1461	5996
196	1469	5989
197	1474	5974
198	1480	5958
199	1485	5942
200	1490	5925
201	1495	5909
202	1500	5892
203	1505	5875
204	1511	5859
205	1517	5847
206	1522	5831
207	1527	5815
208	1532	5801
209	1537	5785
210	1542	5769
211	1549	5760
212	1555	5747
213	1561	5736
214	1568	5726
215	1575	5717
216	1580	5702
217	1585	5687
218	1591	5677
219	1597	5663
220	1602	5649
221	1608	5638
222	1614	5626
223	1621	5617
224	1626	5602
225	1631	5588
226	1638	5578
227	1643	5563
228	1648	5550
229	1654	5537
230	1658	5522
231	1663	5508
232	1669	5494
233	1674	5480
234	1679	5466
235	1684	5453
236	1689	5439
237	1694	5425
238	1699	5411
239	1705	5399
240	1710	5387
241	1715	5373
242	1721	5363
243	1729	5358
244	1735	5348
245	1742	5339
246	1747	5327
247	1752	5315
248	1759	5308
249	1766	5298
250	1772	5288
251	1778	5278
252	1784	5268
253	1790	5258
254	1797	5251
255	1802	5239
256	1808	5229
257	1814	5217
258	1819	5205
259	1824	5192
260	1830	5181
261	1835	5170
262	1840	5158
263	1845	5145
264	1850	5133
265	1856	5121
266	1861	5110
267	1866	5098
268	1871	5086
269	1877	5075
270	1882	5064
271	1888	5055
272	1895	5047
273	1901	5039
274	1909	5032
275	1915	5023
276	1920	5011
277	1925	5001
278	1932	4993
279	1938	4984
280	1946	4980
281	1953	4972
282	1959	4964
283	1966	4958
284	1972	4948
285	1986	4960
286	1992	4949
287	1997	4937
288	2002	4925
289	2007	4914
290	2012	4902
291	2017	4890
292	2022	4879
293	2027	4868
294	2032	4856
295	2037	4845
296	2042	4834
297	2047	4823
